state	sim_endpoints	sim_t_step	f_art0	f_art1	f_art2	f_art3	f_art4	f_art5	f_art6	f_prep0	f_prep1	f_prep2	f_prep3	f_prep4	f_prep5	f_prep6	k_art0	k_art1	k_art2	k_art3	k_art4	k_art5	k_art6	k_prep0	k_prep1	k_prep2	k_prep3	k_prep4	k_prep5	k_prep6	n_msm0	n_msm1	n_msm2	n_msm3	n_msm4	n_msm5	n_msm6
Baden-WÃ¼rttemberg	[972, 1063, 1185, 1276, 1429, 1519, 1826]	1	1372.2586098535694	1240.2607488519982	1228.572726858564	1213.0757064484844	1201.6438720138347	1182.6656307440276	1171.642278826555	0.0	0.0	335.7703724883106	471.0268415892147	350.24988170850077	782.4319995123906	849.7155603970607	-0.00010404975707965495	-0.00010404975707965495	-0.00010404975707965495	-0.00010404975707965495	-0.00010404975707965495	-0.00010404975707965495	-0.00010404975707965495	0	0.0005020567889361875	0.0001576808478236462	-0.00018902836147907415	0.0004150563630156821	0.00011554526068639296	0.0001296129131459442	7580	7580	7580	7580	7580	7580	7580
Bayern	[972, 1063, 1185, 1276, 1429, 1519, 1826]	1	1345.4916798093575	926.192566332317	894.3711817797828	853.4182071301542	824.0971458947173	777.0520633470854	750.6430632366609	0.0	0.0	1419.909140014262	1219.449681059438	1219.4877467911854	1814.4461992967947	1684.7140622878933	-0.00038418996567649374	-0.00038418996567649374	-0.00038418996567649374	-0.00038418996567649374	-0.00038418996567649374	-0.00038418996567649374	-0.00038418996567649374	0	0.0016008888337117801	-0.00018361370865300602	4.603991032427096e-08	0.00044826300722476404	-0.0001723313861337908	0.0003093489281485544	10744	10744	10744	10744	10744	10744	10744
Bremen	[972, 1063, 1185, 1276, 1429, 1519, 1826]	1	223.5379828182642	238.80186509814277	240.2831817425979	242.2835502102939	243.7864641655793	246.33438526069466	247.84558396368692	0.0	0.0	43.87524282992183	69.38546041509042	39.881896540048544	98.93385330067562	82.00053593890625	6.795560356764123e-05	6.795560356764123e-05	6.795560356764123e-05	6.795560356764123e-05	6.795560356764123e-05	6.795560356764123e-05	6.795560356764123e-05	0	0.0005983439945553736	0.00027554554149880617	-0.0004257416135917543	0.000520941606695461	-0.00026391335370535906	0.00018395713885517513	836	836	836	836	836	836	836
Hamburg	[972, 1063, 1185, 1276, 1429, 1519, 1826]	1	753.6086799200335	536.8035112407557	520.0224050815883	498.34482106682003	482.76597858328586	457.6629302056247	443.5106154411943	0.0	0.0	749.6414661853771	817.85219314565	734.2809314826732	1023.4989923968151	1008.0209979723046	-0.00034901350937492615	-0.00034901350937492615	-0.00034901350937492615	-0.00034901350937492615	-0.00034901350937492615	-0.00034901350937492615	-0.00034901350937492615	0	0.0023559748373855587	0.00018856962001295193	-0.00030866319228482395	0.0006676523181824481	-6.490462250749621e-05	0.0005783342639821179	4031	4031	4031	4031	4031	4031	4031
Hessen	[972, 1063, 1185, 1276, 1429, 1519, 1826]	1	733.5657622530739	342.58982205616763	319.0193915431315	289.9437754414723	269.99543146396434	239.50093011048068	223.1978573779207	0.0	0.0	877.3692831151525	983.2077426481942	853.9990336523233	1234.1585563829713	1234.1610562203136	-0.0007833185499507816	-0.0007833185499507816	-0.0007833185499507816	-0.0007833185499507816	-0.0007833185499507816	-0.0007833185499507816	-0.0007833185499507816	0	0.001812580185046645	0.00018566397211531	-0.0003028562614826533	0.0005505327044816026	6.520608312664218e-09	0.000229306709202616	5938	5938	5938	5938	5938	5938	5938
Mecklenburg-Vorpommern	[972, 1063, 1185, 1276, 1429, 1519, 1826]	1	193.6291290099481	145.30798779820867	141.4544647800532	136.44806229779175	132.82950177118272	126.96055091082708	123.63010615001872	0.0	0.0	6.267459916168688	6.267454057070531	23.84827529269785	23.848054925775077	41.548374593757245	-0.0002953591425219986	-0.0002953591425219986	-0.0002953591425219986	-0.0002953591425219986	-0.0002953591425219986	-0.0002953591425219986	-0.0002953591425219986	0	7.36035293892563e-05	-5.1558316872910205e-11	0.0002101161383040626	-1.5869925025651976e-09	0.00021962517091940053	4.825861619838801e-05	940	940	940	940	940	940	940
Niedersachsen	[972, 1063, 1185, 1276, 1429, 1519, 1826]	1	733.4937057479627	342.6000529785608	319.0327446154956	289.9605735057479	270.0143119988739	239.52250778230336	223.2206138269982	0.0	0.0	237.4550576499412	289.8108582542448	289.8830853811939	434.7925415716527	445.7502977661977	-0.0007831867616890865	-0.0007831867616890865	-0.0007831867616890865	-0.0007831867616890865	-0.0007831867616890865	-0.0007831867616890865	-0.0007831867616890865	0	0.0005797863039675857	9.967621957016545e-05	1.8588585145973932e-07	0.00022710018350400167	2.994936431575519e-05	0.00014807227187854405	4664	4664	4664	4664	4664	4664	4664
Rheinland-Pfalz	[972, 1063, 1185, 1276, 1429, 1519, 1826]	1	199.2570224007717	101.9698015594211	95.77080377112935	88.04722258471087	82.69461299045615	74.41846675627528	69.94257218268395	0.0	0.0	104.59985951393934	126.97978890643247	127.63964271070755	228.2847531508362	228.56048824545366	-0.0006892179131264685	-0.0006892179131264685	-0.0006892179131264685	-0.0006892179131264685	-0.0006892179131264685	-0.0006892179131264685	-0.0006892179131264685	0	0.00047337779189227265	7.83100502062774e-05	3.1162542368420335e-06	0.0002914143187294322	1.3993577208284845e-06	0.00014355743163336118	2500	2500	2500	2500	2500	2500	2500
Saarland	[972, 1063, 1185, 1276, 1429, 1519, 1826]	1	39.274482509989745	17.515704119157885	16.240374564301106	14.675067429662576	13.606566438125668	11.982521955531066	11.119300338331541	0.0	0.0	82.39877151043913	91.2765493662578	83.27880392808183	108.11904918765475	108.12519327501154	-0.000830741296919314	-0.000830741296919314	-0.000830741296919314	-0.000830741296919314	-0.000830741296919314	-0.000830741296919314	-0.000830741296919314	0	0.001049513739688193	9.074552611432752e-05	-0.0001096805461492349	0.0002055789930722387	8.831866700629721e-08	0.00012104769411988068	920	920	920	920	920	920	920
Sachsen	[972, 1063, 1185, 1276, 1429, 1519, 1826]	1	237.6141321648724	130.69331447484427	123.57979467854294	114.64669346035797	108.40657684237351	98.67103017743133	93.35785344558823	0.0	0.0	256.4682425291221	296.49028640869415	282.3649335447069	435.8918494985096	480.74830172446366	-0.0006150154884847379	-0.0006150154884847379	-0.0006150154884847379	-0.0006150154884847379	-0.0006150154884847379	-0.0006150154884847379	-0.0006150154884847379	0	0.0009119810612154113	0.00011343569677583415	-5.4001928752243013e-05	0.00036116800391753474	0.00018845900898996408	0.0001895745718311335	3268	3268	3268	3268	3268	3268	3268
Sachsen-Anhalt	[972, 1063, 1185, 1276, 1429, 1519, 1826]	1	82.82242570875876	56.294216159452596	54.295638971524724	51.72710441291426	49.89067044277568	46.94881201312888	45.30000959911337	0.0	0.0	44.748663334594056	64.28480844119008	60.13728196589837	86.81945086018152	103.06005564512466	-0.0003972295301054986	-0.0003972295301054986	-0.0003972295301054986	-0.0003972295301054986	-0.0003972295301054986	-0.0003972295301054986	-0.0003972295301054986	0	0.0004522651692168137	0.00015341156640263107	-4.410416191784461e-05	0.00017131435580443116	0.00018248504559878243	0.00017152921812054405	1118	1118	1118	1118	1118	1118	1118
Schleswig-Holstein	[972, 1063, 1185, 1276, 1429, 1519, 1826]	1	108.1886176556518	98.0406671004153	97.14077699324316	95.94727721867358	95.06660179965837	93.60408856093557	92.75431908716885	0.0	0.0	-0.29768437605716525	38.52258124366383	18.03475301886405	62.556664708931606	119.71935120259072	-0.00010133107061365056	-0.00010133107061365056	-0.00010133107061365056	-0.00010133107061365056	-0.00010133107061365056	-0.00010133107061365056	-0.00010133107061365056	0	-1.6128848305866905e-06	0.00015894893866475525	-0.00011316388329825676	0.00014748387438303203	0.0003336173100726098	9.503065027303268e-05	2028	2028	2028	2028	2028	2028	2028
ThÃ¼ringen	[972, 1063, 1185, 1276, 1429, 1519, 1826]	1	48.29950363328267	36.94491610416437	36.02950360448216	34.83773491238119	33.97453365596201	32.57115604619678	31.772874545038285	0.0	0.0	36.24882335892559	45.34468379800088	27.704460343471006	67.67294409871212	67.66914309778241	-0.00027571320907348164	-0.00027571320907348164	-0.00027571320907348164	-0.00027571320907348164	-0.00027571320907348164	-0.00027571320907348164	-0.00027571320907348164	0	0.00038592832591643924	7.444385478614553e-05	-0.00019244677957093028	0.00026336462670391205	-4.376615952323684e-08	0.00011929727995045166	1057	1057	1057	1057	1057	1057	1057
Nordrhein-Westfalen	[972, 1063, 1185, 1276, 1429, 1519, 1826]	1	1959.342948654731	1410.0514857833557	1367.2841107143365	1311.9758306780684	1272.1831259450378	1207.9806282307347	1171.7386552530356	0.0	0.0	1311.3393129644605	2486.8525541689714	2269.371801725452	3284.79686517145	3390.834332783642	-0.0003384598584542359	-0.0003384598584542359	-0.0003384598584542359	-0.0003384598584542359	-0.0003384598584542359	-0.0003384598584542359	-0.0003384598584542359	0	0.0009358459043906579	0.0007028501460147642	-0.00018281802898108339	0.0005301830301018384	0.000100119270887862	0.00025669146186307315	16307	16307	16307	16307	16307	16307	16307
Berlin-Brandenburg	[972, 1063, 1185, 1276, 1429, 1519, 1826]	1	1767.61803495209	1208.4465731075522	1166.178021419298	1111.8207368492847	1072.9319242783235	1010.5890900314542	975.6227567081119	0.0	0.0	2425.342482298886	2650.492776878174	2253.085658644789	4499.689468493188	4512.968969425714	-0.0003912522814988429	-0.0003912522814988429	-0.0003912522814988429	-0.0003912522814988429	-0.0003912522814988429	-0.0003912522814988429	-0.0003912522814988429	0	0.001628445996216846	0.00012623715074886182	-0.0002963713280156189	0.0010940257418080449	1.2354476566314356e-05	0.0005269993877654736	18071	18071	18071	18071	18071	18071	18071
Total	[972, 1063, 1185, 1276, 1429, 1519, 1826]	1	9780.91754398068	6832.031280391954	6606.338852960228	6315.416046893242	6106.78972195778	5771.44029441693	5582.844424040172	0.0	0.0	7999.398857572889	9707.848941665537	8715.08884055936	14232.507412871135	14467.33138682969	-0.00036914741328104286	-0.00036914741328104286	-0.00036914741328104286	-0.00036914741328104286	-0.00036914741328104286	-0.00036914741328104286	-0.00036914741328104286	0	0.0011810721806446494	0.00020607682904360267	-0.00016168982191713246	0.0005606204166427561	4.313648702788723e-05	0.00028734855358780156	80000	80000	80000	80000	80000	80000	80000
